pod,namespace,service,window_end,error_rate,log_volume,unique_error_types,cpu_millicores,memory_mi,error_rate_delta,log_volume_delta
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:27:59Z,0.0,75,0,0.63,27.51,0.0,19
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:27:59Z,0.0,70,0,1.44,34.7,0.0,-10
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:27:59Z,0.0,29,0,1.28,26.7,0.0,0
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:27:59Z,0.0,36,0,1.0,33.03,0.0,6
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:29:06Z,0.0,71,0,0.7,32.57,0.0,11
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:29:06Z,0.0,30,0,1.53,32.73,0.0,-24
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:29:06Z,0.0,75,0,1.56,34.3,0.0,-5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:29:06Z,0.0,57,0,0.98,27.51,0.0,-18
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:29:06Z,0.0,65,0,0.92,34.7,0.0,-5
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:29:06Z,0.0,27,0,1.3,26.7,0.0,-2
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:29:06Z,0.0,54,0,1.01,33.04,0.0,18
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:30:13Z,0.0,70,0,0.96,32.57,0.0,-1
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:30:13Z,0.0,45,0,1.0,32.74,0.0,15
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:30:13Z,0.0,85,0,1.34,34.3,0.0,10
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:30:13Z,0.0,52,0,0.71,27.51,0.0,-5
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:30:13Z,0.0,40,0,1.03,34.7,0.0,-25
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:30:13Z,0.0,25,0,1.21,26.7,0.0,-2
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:30:13Z,0.0,30,0,1.41,33.07,0.0,-24
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:31:19Z,0.0,71,0,0.83,32.57,0.0,1
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:31:19Z,0.0,33,0,1.1,32.76,0.0,-12
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:31:19Z,0.0,70,0,1.4,34.3,0.0,-15
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:31:19Z,0.0,68,0,0.72,27.51,0.0,16
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:31:19Z,0.0,85,0,0.81,34.7,0.0,45
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:31:19Z,0.0,31,0,1.16,26.7,0.0,6
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:31:19Z,0.0,60,0,1.14,33.08,0.0,30
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:32:26Z,0.0,77,0,0.85,32.57,0.0,6
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:32:26Z,0.0,57,0,1.38,32.78,0.0,24
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:32:26Z,0.0,55,0,1.15,34.32,0.0,-15
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:32:26Z,0.0,63,0,0.76,27.52,0.0,-5
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:32:26Z,0.0,100,0,1.25,34.7,0.0,15
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:32:26Z,0.0,31,0,1.31,26.7,0.0,0
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:32:26Z,0.0,39,0,1.05,33.09,0.0,-21
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:33:33Z,0.0,62,0,0.92,32.57,0.0,-15
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:33:33Z,0.0,36,0,1.45,32.79,0.0,-21
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:33:33Z,0.0,70,0,0.86,34.3,0.0,15
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:33:33Z,0.0,67,0,0.74,27.52,0.0,4
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:33:33Z,0.0,70,0,1.69,34.7,0.0,-30
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:33:33Z,0.0,30,0,1.33,26.7,0.0,-1
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:33:33Z,0.0,48,0,1.13,33.11,0.0,9
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:34:39Z,0.0,87,0,0.75,32.55,0.0,25
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:34:39Z,0.0,42,0,0.99,32.8,0.0,6
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:34:39Z,0.0,80,0,1.23,34.3,0.0,10
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:34:39Z,0.0,52,0,0.85,27.52,0.0,-15
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:34:39Z,0.0,70,0,1.14,34.7,0.0,0
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:34:39Z,0.0,30,0,1.22,26.69,0.0,0
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:34:39Z,0.0,50,0,1.37,33.12,0.0,2
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:35:46Z,0.0,64,0,1.09,32.55,0.0,-23
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:35:46Z,0.0,51,0,0.99,32.82,0.0,9
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:35:46Z,0.0,75,0,1.38,34.3,0.0,-5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:35:46Z,0.0,72,0,0.52,27.51,0.0,20
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:35:46Z,0.0,70,0,0.9,34.7,0.0,0
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:35:46Z,0.0,29,0,1.21,26.69,0.0,-1
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:35:46Z,0.0,36,0,1.29,33.14,0.0,-14
